Candida albicans SC5314	Candida albicans WO-1	Candida dubliniensis CD36 	Candida tropicalis MYA-3404	Candida parapsilosis CDC317	Candida orthopsilosis Co 90-125	Lodderomyces elongisporus NRLL YB-4239	Debaryomyces hansenii CBS767	Pichia stipitis Pignal	Candida tenuis NRRL Y-1498	Spathaspora passalidarum NRRL Y-27907	Candida guilliermondii ATCC 6260	Candida lusitaniae ATCC 42720	Saccharomyces cerevisiae S288C	Candida glabrata CBS138
orf19.6109	CAWG_01360	CD36_00070	---	CPAR2_109520	CORT0B10590	LELG_01447	DEHA2A13420g	PICST_63551	CANTEDRAFT_122819	SPAPADRAFT_57666	PGUG_01096	CLUG_03455	YCR084C	CAGL0E00561g
orf19.3291	CAWG_01271	CD36_00970	CTRG_04404	CPAR2_110080	CORT0B11190	LELG_05598	DEHA2B00924g	PICST_51802	CANTEDRAFT_115202	SPAPADRAFT_57792	PGUG_00048	CLUG_00020	YBR034C	CAGL0I04730g
orf19.6080	CAWG_01342	CD36_00240	CTRG_04297	CPAR2_109670	CORT0B10760	LELG_01463	DEHA2A07348g	PICST_28190	CANTEDRAFT_95466	SPAPADRAFT_47726	PGUG_02098	CLUG_00400	YJR053W	CAGL0D06028g
orf19.2972	CAWG_01100	CD36_02640	CTRG_04317	CPAR2_108380	CORT0B09470	LELG_01515	DEHA2D08008g	PICST_78746	CANTEDRAFT_131639	SPAPADRAFT_57887	PGUG_04756	CLUG_04448	YOR360C	CAGL0K09944g
orf19.304	CAWG_02627	CD36_83050	CTRG_02586	---	---	---	DEHA2D11572g	PICST_41453	CANTEDRAFT_127755	---	PGUG_02196	CLUG_03396	---	
orf19.305	CAWG_02628	CD36_83060	CTRG_02587	CPAR2_103360	CORT0B04550	LELG_02026	---	---	---	---	---	---	---	
orf19.306	CAWG_02629	CD36_83070	CTRG_02588	CPAR2_103370	CORT0B04560	LELG_02024	DEHA2D11616g	PICST_29721	CANTEDRAFT_116534	SPAPADRAFT_51539	PGUG_02199	CLUG_03394	---	
orf19.307	CAWG_02630	CD36_83080	CTRG_02589	CPAR2_103380	CORT0B04570	LELG_02023	DEHA2D11594g	PICST_41601	CANTEDRAFT_132231	SPAPADRAFT_62127	PGUG_02197	CLUG_03395	YPL254W	CAGL0H00616g
orf19.308	CAWG_02631	CD36_83090	CTRG_02591	---	CORT0B04580	---	DEHA2D10626g	PICST_55633	CANTEDRAFT_124613	---	PGUG_00697	CLUG_01318	YGR197C	CAGL0G09273g
orf19.309	CAWG_02632	---	---	---	---	---	---	---	CANTEDRAFT_99688	---	PGUG_00370	---	YJR152W	
orf19.310	CAWG_02633	CD36_83100	---	---	---	---	---	---	CANTEDRAFT_97058	SPAPADRAFT_62136	---	---	---	
orf19.313	CAWG_02635	---	CTRG_02594	CPAR2_103200	CORT0B04430	LELG_04144	DEHA2G08426g	PICST_42384	CANTEDRAFT_92337	---	PGUG_02693	CLUG_04321	YIR028W	
orf19.314	CAWG_02678	CD36_83110	CTRG_02595	CPAR2_103210	CORT0B04440	LELG_02027	DEHA2G08382g	PICST_55651	CANTEDRAFT_133418	SPAPADRAFT_154850	PGUG_02692	CLUG_03768	YKL072W	CAGL0L05016g
orf19.315	CAWG_02677	CD36_83120	CTRG_02596	CPAR2_103220	CORT0B04445	LELG_02028	DEHA2G08360g	PICST_29730	CANTEDRAFT_112860	SPAPADRAFT_141014	PGUG_02691	CLUG_03769	---	
orf19.2973	CAWG_01099	CD36_02650	CTRG_04318	CPAR2_106110	CORT0B07340	LELG_01514	DEHA2D08030g	PICST_65878	CANTEDRAFT_136197	SPAPADRAFT_57886	PGUG_04755	CLUG_04449	YOR359W	CAGL0K09922g
orf19.316	CAWG_02676	CD36_83130	CTRG_02597	CPAR2_103230	CORT0B04450	LELG_02029	DEHA2G08338g	PICST_76043	CANTEDRAFT_92334	SPAPADRAFT_141001	PGUG_02690	CLUG_03770	YLR208W	CAGL0J08778g
orf19.317	CAWG_02675	CD36_83140	CTRG_02598	CPAR2_103240	CORT0B04460	LELG_02009	DEHA2G08316g	psti_CGOB_00026	CANTEDRAFT_112859	SPAPADRAFT_62140	PGUG_02689	CLUG_03771	YLR209C	CAGL0J08800g
orf19.318	CAWG_02674	CD36_83150	CTRG_02599	CPAR2_103250	CORT0B04470	LELG_02010	DEHA2E10318g	PICST_40677	CANTEDRAFT_113532	SPAPADRAFT_72330	PGUG_05401	CLUG_05159	YJR122W	CAGL0H00484g
orf19.319	CAWG_02673	CD36_83160	CTRG_02600	CPAR2_101820	CORT0B03110	---	DEHA2F17952g	PICST_64696	CANTEDRAFT_113333	SPAPADRAFT_61959	PGUG_03455	CLUG_04225	YDR286C	CAGL0H01111g
orf19.320	CAWG_02672	CD36_83180	CTRG_02601	CPAR2_103600	CORT0B04770	LELG_01996	DEHA2C15202g	PICST_81469	---	SPAPADRAFT_56254	PGUG_01195	---	---	
orf19.321	CAWG_02671	CD36_83190	CTRG_02610	CPAR2_103130	CORT0B04380	LELG_02038	DEHA2D12078g	PICST_28954	CANTEDRAFT_114011	SPAPADRAFT_51564	PGUG_02216	CLUG_01767	YHL036W	CAGL0E04004g
orf19.322	CAWG_02670	CD36_83195	---	---	---	---	---	---	---	---	---	---	---	
orf19.323	CAWG_02669	CD36_83200	CTRG_00456	CPAR2_102700	CORT0B03950	LELG_02095	DEHA2D07348g	PICST_81178	CANTEDRAFT_123932	SPAPADRAFT_72340	PGUG_02441	CLUG_04249	---	
orf19.325	CAWG_02668	CD36_83210	CTRG_00455	CPAR2_102690	CORT0B03940	LELG_02096	DEHA2D07304g	PICST_81097	CANTEDRAFT_98614	SPAPADRAFT_67601	PGUG_02442	CLUG_04248	YLR115W	CAGL0D02332g
orf19.326	CAWG_02667	CD36_83220	CTRG_00448	CPAR2_103270	CORT0B04490	LELG_02012	DEHA2E05698g	PICST_53659	CANTEDRAFT_115420	SPAPADRAFT_72332	PGUG_05562	CLUG_00614	---	
orf19.2974	CAWG_01098	CD36_02660	CTRG_04319	CPAR2_106100	CORT0B07330	LELG_01513	DEHA2D08052g	PICST_65879	CANTEDRAFT_115726	SPAPADRAFT_57881	PGUG_04754	CLUG_04450	YKL196C	CAGL0D03498g
orf19.327	CAWG_02666	CD36_83230	CTRG_00449	CPAR2_103280	CORT0B04500	LELG_02013	DEHA2E05720g	PICST_9318	CANTEDRAFT_115421	SPAPADRAFT_62146	PGUG_05563	CLUG_00615	YOL012C	CAGL0E02315g
orf19.328	CAWG_02665	CD36_83240	CTRG_00450	CPAR2_103290	CORT0B04510	LELG_02014	DEHA2E05742g	PICST_39691	CANTEDRAFT_131421	SPAPADRAFT_56377	PGUG_05564	CLUG_00616	YEL062W	CAGL0L13288g
orf19.329	CAWG_02664	CD36_83250	CTRG_00451	CPAR2_102680	CORT0B03930	LELG_02097	DEHA2D07238g	PICST_53344	---	SPAPADRAFT_62151	PGUG_02443	CLUG_02774	YLR116W	CAGL0D02354g
orf19.331	CAWG_02663	CD36_83260	CTRG_00452	CPAR2_102670	CORT0B03920	LELG_02098	DEHA2D07216g	PICST_53410	CANTEDRAFT_114826	SPAPADRAFT_56378	PGUG_02444	CLUG_02775	YDR140W	CAGL0B01573g
orf19.330.1	CAWG_02662	CD36_83270	CTRG_00453	CPAR2_102660	CORT0B03910	LELG_02099	DEHA2D07194g	PICST_34540	CANTEDRAFT_98610	SPAPADRAFT_56379	PGUG_02445	CLUG_02776	YDR139C	CAGL0B01589g
orf19.332	CAWG_02661	CD36_83280	CTRG_00454	CPAR2_102650	CORT0B03900	LELG_02100	DEHA2D07172g	PICST_53682	CANTEDRAFT_123918	SPAPADRAFT_140880	PGUG_02446	CLUG_02777	YLR117C	CAGL0D02376g
orf19.332.1	---	CD36_83290	---	CPAR2_102640	CORT0B03890	---	DEHA2D07282g	PICST_81272	CANTEDRAFT_98613	---	---	---	---	
orf19.333	CAWG_02660	CD36_83310	CTRG_00460	---	---	LELG_02021	---	PICST_75870	---	---	PGUG_04055	CLUG_05591	---	
orf19.334	CAWG_02659	CD36_83330	CTRG_00424	---	---	LELG_02016	---	PICST_29725	---	SPAPADRAFT_62134	---	---	---	
orf19.335	CAWG_02658	CD36_83340	CTRG_00467	CPAR2_103350	CORT0B04540	LELG_02017	---	PICST_34969	CANTEDRAFT_95730	SPAPADRAFT_67579	PGUG_02104	---	---	
orf19.2975	CAWG_01097	CD36_02670	CTRG_04320	CPAR2_106090	CORT0B07320	LELG_01512	DEHA2D08074g	PICST_32671	CANTEDRAFT_131641	SPAPADRAFT_57876	PGUG_04753	CLUG_04451	---	
orf19.336	CAWG_02657	CD36_83350	CTRG_00466	CPAR2_103420	CORT0B04630	LELG_02018	DEHA2D11638g	PICST_55369	CANTEDRAFT_116533	SPAPADRAFT_141017	---	CLUG_03393	YPL252C	CAGL0H00660g
orf19.337	CAWG_02656	CD36_83370	CTRG_00465	CPAR2_103410	CORT0B04620	LELG_02019	DEHA2D11660g	PICST_34970	CANTEDRAFT_99890	SPAPADRAFT_62124	PGUG_02200	CLUG_03392	YMR197C	CAGL0L10604g
orf19.338	CAWG_02655	CD36_83380	CTRG_00464.1	CPAR2_103400	CORT0B04610	LELG_02020	DEHA2D11682g	PICST_87266	CANTEDRAFT_109812	SPAPADRAFT_51535	PGUG_02201	CLUG_03391	YMR196W	CAGL0L10582g
orf19.339	CAWG_02654	CD36_83390	CTRG_02605	CPAR2_102780	CORT0B04050	LELG_02069	DEHA2D07568g	PICST_66598	CANTEDRAFT_101918	SPAPADRAFT_140814	PGUG_02433	CLUG_04257	YMR145C	CAGL0I00748g
orf19.340	CAWG_02653	CD36_83400	CTRG_02604	CPAR2_102770	CORT0B04040	LELG_02090	DEHA2D07502g	PICST_28948	CANTEDRAFT_112679	SPAPADRAFT_62174	PGUG_02434	CLUG_04255	YLR119W	CAGL0D02420g
orf19.341	CAWG_02652	CD36_83410	CTRG_02603	CPAR2_102760	CORT0B04030	LELG_02089	DEHA2D07480g	PICST_53777	CANTEDRAFT_113823	SPAPADRAFT_141554	PGUG_02435	CLUG_04254	---	
orf19.342	CAWG_02651	CD36_83420	CTRG_02602	CPAR2_102750	---	LELG_02088	DEHA2D07458g	PICST_75433	CANTEDRAFT_121442	SPAPADRAFT_62172	PGUG_02436	---	---	
orf19.344	CAWG_02650	CD36_83450	CTRG_02331	---	---	---	---	---	---	---	---	---	---	
orf19.345	CAWG_02649	CD36_83470	CTRG_02332	CPAR2_404090	CORT0C03520	LELG_02632	DEHA2B10384g	PICST_40468	CANTEDRAFT_116524	SPAPADRAFT_62254	PGUG_01688	CLUG_03905	YBR006W	CAGL0C04191g
orf19.346	CAWG_02648	CD36_83480	CTRG_02333	CPAR2_404100	CORT0C03530	LELG_02633	DEHA2B08382g	PICST_70108	CANTEDRAFT_113402	SPAPADRAFT_140897	PGUG_02164	CLUG_00723	YLR089C	CAGL0L12254g
orf19.2977	CAWG_01096	CD36_02680	CTRG_04321	CPAR2_106080	CORT0B07310	LELG_01511	DEHA2D08096g	PICST_32672	CANTEDRAFT_115727	SPAPADRAFT_57875	PGUG_04752	CLUG_04452	YKL195W	CAGL0D03520g
orf19.347	CAWG_02647	CD36_83500	CTRG_02539	---	---	LELG_02634	---	---	---	---	---	---	---	
orf19.348	CAWG_02646	CD36_83510	CTRG_02540	CPAR2_404750	CORT0C04190	LELG_02674	---	---	---	---	---	---	---	
orf19.349	CAWG_02645	CD36_83520	CTRG_02472	CPAR2_404280	CORT0C03770	LELG_02675	DEHA2B13882g	PICST_55245	CANTEDRAFT_136262	SPAPADRAFT_56454	PGUG_01821	CLUG_01188.1	YPR155C	CAGL0F04851g
orf19.350	CAWG_02644	CD36_83530	CTRG_02471	CPAR2_404530	CORT0C03950	LELG_02676	DEHA2B13860g	PICST_81403	CANTEDRAFT_115796	SPAPADRAFT_140464	PGUG_01820	CLUG_01189	YGR135W	CAGL0I10406g
orf19.351	CAWG_02643	CD36_83540	CTRG_02470	CPAR2_404520	CORT0C03940	LELG_02677	DEHA2B13838g	PICST_40580	CANTEDRAFT_115795	SPAPADRAFT_141055	PGUG_01819	CLUG_01190	YPR153W	CAGL0L08382g
orf19.352	CAWG_02642	CD36_83550	CTRG_02469	CPAR2_404510	CORT0C03930	LELG_02678	DEHA2B13794g	PICST_30078	---	SPAPADRAFT_56457	PGUG_01818	CLUG_01191	---	
orf19.353	CAWG_02641	CD36_83560	CTRG_02468	CPAR2_404370	CORT0C03780	LELG_02679	DEHA2B13772g	PICST_42365	CANTEDRAFT_115794	SPAPADRAFT_62269	PGUG_01817	CLUG_01192	---	
orf19.354	CAWG_02640	CD36_83570	CTRG_02467	CPAR2_404380	CORT0C03790	LELG_02680	DEHA2B13750g	PICST_67038	CANTEDRAFT_107785	SPAPADRAFT_141091	PGUG_01816	CLUG_01193	YER078C	CAGL0J03300g
orf19.355	CAWG_02639	CD36_83580	---	CPAR2_806900	CORT0C02270	LELG_02802	---	PICST_30111	CANTEDRAFT_125194	---	PGUG_04559	CLUG_03154	---	
orf19.356	CAWG_02638	CD36_83590	CTRG_02466	CPAR2_806910	CORT0C02260	LELG_02801	DEHA2D16302g	PICST_56049	CANTEDRAFT_116028	SPAPADRAFT_62299	PGUG_00606	CLUG_03155	---	
orf19.2978	CAWG_01095	CD36_02690	CTRG_04322	CPAR2_106070	CORT0B07300	LELG_01510	DEHA2D08118g	---	CANTEDRAFT_115728	SPAPADRAFT_57874	---	---	---	
orf19.357	CAWG_02637	CD36_83600	---	---	---	---	---	---	---	---	---	---	YGR132C	CAGL0I10472g
orf19.359	CAWG_02636	CD36_83610	ctro_CGOB_00011	CPAR2_806940	CORT0C02230	LELG_02799	DEHA2D16280g	PICST_35190	---	---	PGUG_00604	CLUG_03150	YIR038C	
orf19.360	CAWG_02679	---	---	---	---	---	---	PICST_33169	---	---	---	---	YBR021W	CAGL0B04433g
orf19.6957	CAWG_02634	---	---	---	---	---	---	---	---	---	---	---	---	
orf19.6958	CAWG_02680	CD36_83620	CTRG_02615	CPAR2_103190	CORT0B04420	LELG_02040	DEHA2G08448g	PICST_29727	---	---	PGUG_02694	CLUG_04325	YDR125C	CAGL0B01969g
orf19.6956	CAWG_02681	CD36_83640	CTRG_02527	CPAR2_209680	CORT0A08950	LELG_00174	DEHA2C12276g	PICST_29740	---	---	PGUG_05166	CLUG_00417	---	
orf19.6955	CAWG_02682	CD36_83650	CTRG_02542	CPAR2_806950	CORT0C02220	LELG_02798	DEHA2D16258g	PICST_42470	---	SPAPADRAFT_62301	PGUG_00603	CLUG_03149	YOR056C	CAGL0G01991g
orf19.6953	CAWG_02683	CD36_83660	CTRG_02541	CPAR2_806960	CORT0C02210	LELG_02797	DEHA2D16236g	PICST_35192	---	---	PGUG_00602	CLUG_03148	YJL083W	
orf19.6952	CAWG_02684	CD36_83670	CTRG_02473	CPAR2_806970	CORT0C02200	LELG_02796	DEHA2D16214g	PICST_35193	---	SPAPADRAFT_140325	PGUG_00601	CLUG_03147	YDR295C	CAGL0H01331g
orf19.6951	CAWG_02685	CD36_83680	CTRG_02474	CPAR2_806890	CORT0C02280	LELG_02804	DEHA2D16192g	PICST_87778	CANTEDRAFT_110649	SPAPADRAFT_140932	PGUG_00600	CLUG_03146	YDR294C	CAGL0H01309g
orf19.2980	CAWG_01094	CD36_02700	CTRG_04323	CPAR2_106060	CORT0B07290	LELG_01509	DEHA2D08140g	PICST_32673	CANTEDRAFT_95157	SPAPADRAFT_57873	PGUG_04751	CLUG_04453	YLR424W	CAGL0J04708g
orf19.6950	CAWG_02686	CD36_83690	CTRG_02475	CPAR2_806880	CORT0C02290	LELG_02805	DEHA2D16170g	PICST_35195	CANTEDRAFT_112782	SPAPADRAFT_62304	PGUG_00599	CLUG_03145	YDR352W	CAGL0A02508g
orf19.6949	CAWG_02687	---	---	---	---	---	---	---	---	---	---	---	---	
orf19.6948	CAWG_02688	CD36_83700	CTRG_02287	CPAR2_405240	CORT0C04650	LELG_02764	DEHA2B13706g	PICST_67039	CANTEDRAFT_115789	SPAPADRAFT_140208	PGUG_01814	CLUG_01196	YLR220W	CAGL0C00693g
orf19.6947	CAWG_02689	CD36_83710	---	---	---	---	---	---	---	SPAPADRAFT_62300	---	---	---	
orf19.6944	CAWG_02690	CD36_83720	CTRG_02462	CPAR2_404390	CORT0C03800	LELG_02681	DEHA2B13728g	PICST_41824	CANTEDRAFT_95213	SPAPADRAFT_62270	PGUG_01815	CLUG_01194	---	
orf19.6943	CAWG_02691	CD36_83730	CTRG_06207	CPAR2_503210	CORT0D06740	---	---	PICST_66908	---	---	---	---	---	
orf19.6942	CAWG_02692	CD36_83740	CTRG_06208	CPAR2_503220	CORT0D06730	LELG_02308	DEHA2C12100g	PICST_54331	CANTEDRAFT_116446	SPAPADRAFT_141552	PGUG_03585	CLUG_00756	YLL004W	CAGL0D03080g
orf19.6941	CAWG_02693	CD36_83750	CTRG_06209	CPAR2_503080	CORT0D06560	LELG_02307	DEHA2C12122g	PICST_42763	CANTEDRAFT_110897	SPAPADRAFT_72087	PGUG_03584	CLUG_00755	YOR245C	CAGL0J03674g
orf19.6940	---	---	---	---	---	---	---	---	---	---	---	---	---	
orf19.6938	CAWG_02696	CD36_83770	CTRG_06211	CPAR2_503550	CORT0D07040	LELG_02245	DEHA2C12166g	PICST_65182	CANTEDRAFT_116449	SPAPADRAFT_61810	PGUG_03582	CLUG_00753	YLR017W	CAGL0D03190g
orf19.2982	CAWG_01093	CD36_02710	CTRG_04324	CPAR2_106050	CORT0B07280	LELG_01508	DEHA2D08162g	PICST_61658	CANTEDRAFT_131642	SPAPADRAFT_131523	PGUG_04750	CLUG_04454	YLR423C	CAGL0J04686g
orf19.6937	CAWG_02697	CD36_83780	CTRG_06212	CPAR2_503540	CORT0D07030	LELG_02246	DEHA2C12210g	PICST_70645	CANTEDRAFT_116452	SPAPADRAFT_56124	PGUG_05281	CLUG_02920	YKR093W	CAGL0G02453g
orf19.6936	CAWG_02698	CD36_83790	CTRG_06214	CPAR2_503290	CORT0D06760	LELG_02309	DEHA2C12254g	PICST_41175	CANTEDRAFT_127596	SPAPADRAFT_140761	PGUG_03581	CLUG_02932	YPL153C	CAGL0M02233g
orf19.6934	CAWG_02699	CD36_83800	CTRG_06215	---	---	---	DEHA2C12606g	PICST_41328	CANTEDRAFT_112564	SPAPADRAFT_61808	PGUG_03567	CLUG_02948	YOR266W	CAGL0C02871g
orf19.6933	CAWG_02700	CD36_83810	CTRG_06216	CPAR2_503300	CORT0D06770	---	DEHA2C12584g	PICST_55226	CANTEDRAFT_118247	SPAPADRAFT_141506	PGUG_03568	CLUG_02946	YPL152W	CAGL0M02255g
orf19.6931	CAWG_02701	CD36_83820	CTRG_06217	CPAR2_503310	CORT0D06780	LELG_02270	DEHA2C12562g	PICST_55332	CANTEDRAFT_112565	SPAPADRAFT_141490	PGUG_03569	CLUG_02945	YOR250C	CAGL0K09086g
orf19.6930	CAWG_02702	CD36_83830	CTRG_06218	CPAR2_503320	CORT0D06790	LELG_02269	DEHA2C12518g	PICST_32179	CANTEDRAFT_102003	SPAPADRAFT_61806	PGUG_03570	CLUG_02944	---	
orf19.6929	CAWG_02703	CD36_83840	CTRG_02626	CPAR2_502860	CORT0D06330	LELG_02164	DEHA2F18238g	PICST_50611	CANTEDRAFT_115398	SPAPADRAFT_61931	PGUG_03444	CLUG_04240	YER134C	CAGL0K02035g
orf19.6928	CAWG_02704	CD36_83850	CTRG_02621	CPAR2_102610	CORT0B03860	LELG_02108	DEHA2A11858g	PICST_68459	CANTEDRAFT_112537	SPAPADRAFT_141168	PGUG_01925	CLUG_03179	YLR120C	CAGL0M04191g
orf19.6927	CAWG_02705	CD36_83860	CTRG_02622	CPAR2_502830	CORT0D06360	LELG_02171	DEHA2A12012g	PICST_64663	CANTEDRAFT_112533	SPAPADRAFT_139970	PGUG_01918	CLUG_04408	YJL053W	CAGL0J04994g
orf19.6926	CAWG_02706	CD36_83870	CTRG_02623	CPAR2_502840	CORT0D06350	LELG_02166	DEHA2A12034g	PICST_73961	CANTEDRAFT_120187	SPAPADRAFT_154407	PGUG_01917	CLUG_04412	YLR310C	CAGL0E03476g
orf19.2983	CAWG_01092	CD36_02720	CTRG_04325	CPAR2_106040	CORT0B07270	LELG_01507	DEHA2D08184g	PICST_78878	CANTEDRAFT_115729	SPAPADRAFT_132643	PGUG_04749	CLUG_04455	YLR418C	CAGL0J04510g
orf19.6925	CAWG_02708	CD36_83880	CTRG_02624	---	---	---	DEHA2F18304g	PICST_85793	CANTEDRAFT_99055	---	PGUG_03442	---	YDR224C	CAGL0K11462g
orf19.6924	CAWG_02709	CD36_83890	CTRG_02625	---	---	LELG_02165	DEHA2F18282g	PICST_37161	CANTEDRAFT_115395	SPAPADRAFT_61935	PGUG_03443	---	---	
orf19.6923.1	---	---	---	---	---	---	---	---	---	---	---	---	---	
orf19.6923	CAWG_02710	CD36_83920	CTRG_02619	CPAR2_805660	CORT0H01990	LELG_03079	DEHA2E06160g	PICST_40263	CANTEDRAFT_113065	SPAPADRAFT_58817	PGUG_05580	CLUG_02898	YML015C	CAGL0H04829g
orf19.2813	CAWG_02711	---	---	---	---	---	---	---	---	---	---	---	---	
orf19.6922	---	---	---	---	---	---	---	---	---	---	---	---	---	
orf19.2812	CAWG_02713	CD36_83930	CTRG_00459	CPAR2_103390	CORT0B04590	LELG_02022	---	---	---	SPAPADRAFT_154832	---	---	---	
orf19.2810	CAWG_02714	CD36_83940	CTRG_00458	CPAR2_103310	CORT0B04520	LELG_02015	---	PICST_41966	CANTEDRAFT_134962	SPAPADRAFT_56368	PGUG_02195	---	---	
orf19.2809	CAWG_02715	CD36_83950	CTRG_00457	CPAR2_103260	CORT0B04480	LELG_02011	DEHA2E10296g	PICST_42139	CANTEDRAFT_120712	SPAPADRAFT_67595	PGUG_05405	CLUG_05158	YER024W	CAGL0I08305g
orf19.2808	CAWG_02716	CD36_83960	CTRG_02593	CPAR2_103550	CORT0B04760	LELG_01997	DEHA2G02090g	PICST_31755	CANTEDRAFT_136749	SPAPADRAFT_154694	PGUG_00677	CLUG_02659	YJL089W	CAGL0L03377g
orf19.2984	CAWG_01091	CD36_02730	CTRG_04326	CPAR2_106030	CORT0B07260	LELG_01506	DEHA2D08206g	PICST_47981	CANTEDRAFT_109295	SPAPADRAFT_57871	PGUG_04748	CLUG_04456	YKL194C	CAGL0D03542g
orf19.2805	CAWG_02717	CD36_83970	CTRG_02592	CPAR2_103540	CORT0B04750	LELG_01998	DEHA2F16368g	PICST_64239	CANTEDRAFT_105622	SPAPADRAFT_140345	PGUG_03784	CLUG_04594	---	
orf19.2804	CAWG_02718	CD36_83980	CTRG_02614	CPAR2_102620	CORT0B03870	LELG_02109	DEHA2D12100g	PICST_28953	CANTEDRAFT_134550	---	PGUG_02217	---	---	
orf19.2803	CAWG_02719	CD36_83990	CTRG_02611	CPAR2_103450	CORT0B04660	LELG_02000	DEHA2F16456g	PICST_64368	CANTEDRAFT_113737	SPAPADRAFT_61910	PGUG_04204	CLUG_04597	YDR044W	CAGL0K12100g
orf19.918	CAWG_02722.1	CD36_84000	CTRG_02576	---	---	---	---	---	---	---	---	---	---	
orf19.913.2	CAWG_02723	CD36_84010	---	CPAR2_103180	CORT0B04410	---	DEHA2D11990g	PICST_75355	---	SPAPADRAFT_62185	---	---	YFR033C	CAGL0D05192g
orf19.5854	CAWG_02724	CD36_84020	CTRG_02608	CPAR2_103170	CORT0B04400	---	DEHA2D12012g	PICST_39616	CANTEDRAFT_115527	SPAPADRAFT_62182	PGUG_02213	CLUG_01761	YHL034C	CAGL0E03960g
orf19.5854.1	CAWG_02725	---	---	---	---	---	---	---	---	---	---	---	---	
orf19.5855	CAWG_02726	CD36_84050	CTRG_02642	CPAR2_102740	CORT0B04000	LELG_02091	DEHA2D07436g	PICST_34547	CANTEDRAFT_121444	SPAPADRAFT_140662	PGUG_02437	CLUG_04253	YDL056W	CAGL0D01012g
orf19.5856	CAWG_02727	CD36_84060	CTRG_00444	CPAR2_102730	CORT0B03990	LELG_02092	DEHA2D07414g	PICST_53074	CANTEDRAFT_113825	SPAPADRAFT_62170	PGUG_02438	CLUG_04252	---	
orf19.5857	CAWG_02728	CD36_84070	CTRG_00445	CPAR2_102720	CORT0B03980	LELG_02093	DEHA2D07392g	PICST_28943	CANTEDRAFT_98617	SPAPADRAFT_62169	PGUG_02439	CLUG_04251	---	
orf19.6079	CAWG_03692	---	---	---	---	---	---	---	---	---	---	---	---	
orf19.2985	CAWG_01090	CD36_02740	CTRG_04332	CPAR2_106020	CORT0B07250	LELG_01505	DEHA2D08228g	psti_CGOB_00092	CANTEDRAFT_115730	SPAPADRAFT_57870	PGUG_04747	CLUG_04457	---	
orf19.5858	CAWG_02729	CD36_84080	CTRG_00446	CPAR2_102710	CORT0B03970	LELG_02094	DEHA2D07370g	PICST_69583	CANTEDRAFT_114829	SPAPADRAFT_62166	PGUG_02440	CLUG_04250	YHR193C	CAGL0M07161g
orf19.5859	CAWG_02730	CD36_84100	---	---	---	---	---	---	CANTEDRAFT_101323	---	---	---	---	
orf19.5860	CAWG_02731	CD36_84110	---	CPAR2_404080	CORT0C03510	---	---	---	---	---	---	---	---	
orf19.5861	CAWG_02732	CD36_84120	CTRG_02327	CPAR2_404060	CORT0C03500	LELG_02673	DEHA2B10340g	PICST_81787	CANTEDRAFT_113367	SPAPADRAFT_58898	PGUG_01687	CLUG_01598	YJL174W	CAGL0C00363g
orf19.5861.1	---	---	---	---	---	---	---	---	---	---	---	---	---	
orf19.5862	CAWG_02733	CD36_84150	CTRG_02328	CPAR2_808380	CORT0C00790	---	DEHA2B10406g	PICST_55948	---	SPAPADRAFT_56452	PGUG_01690	CLUG_04133	---	
orf19.5863	CAWG_02734	CD36_84160	CTRG_02325	---	---	---	DEHA2B08404g	PICST_67031	---	---	---	---	---	
orf19.5864	CAWG_02735	CD36_84170	CTRG_02324	CPAR2_404130	CORT0C03540	LELG_02635	DEHA2B08426g	PICST_81319	CANTEDRAFT_129851	SPAPADRAFT_72406	PGUG_02163	CLUG_00722	YNR012W	CAGL0I05654g
orf19.5865	CAWG_02736	CD36_84180	CTRG_02323	CPAR2_404140	CORT0C03550	LELG_02636	DEHA2B08448g	psti_CGOB_00035	CANTEDRAFT_113403	SPAPADRAFT_139926	PGUG_02162	CLUG_00721	YNR011C	CAGL0I05676g
orf19.5866	CAWG_02737	---	---	---	---	---	---	---	---	---	---	---	---	
orf19.2986	CAWG_01089	CD36_02750	CTRG_04331	CPAR2_106015	CORT0B07240	LELG_01504	DEHA2D08250g	PICST_49115	CANTEDRAFT_107500	SPAPADRAFT_145281	PGUG_04746	CLUG_04458	---	
orf19.5867	CAWG_02738	CD36_84190	CTRG_02322	CPAR2_805820	CORT0C03330	LELG_02637	DEHA2B10450g	psti_CGOB_00034	---	SPAPADRAFT_62249	PGUG_01691	CLUG_05756	---	
orf19.5869	CAWG_02739	CD36_84200	CTRG_02321	CPAR2_805830	CORT0C03320	LELG_02639	DEHA2F11374g	PICST_53802	CANTEDRAFT_127970	SPAPADRAFT_155091	PGUG_00857	CLUG_00246	YBR290W	CAGL0L02101g
orf19.5870	CAWG_02740	CD36_84210	CTRG_02320	CPAR2_805840	CORT0C03310	LELG_02638	DEHA2F11352g	PICST_29031	CANTEDRAFT_96039	SPAPADRAFT_62248	---	---	YBR291C	CAGL0L02079g
orf19.5871	CAWG_02741	CD36_84230	CTRG_02318	CPAR2_805850	CORT0C03300	LELG_02641	DEHA2F11418g	PICST_53150	CANTEDRAFT_111973	SPAPADRAFT_141123	PGUG_00859	CLUG_05506	YBR289W	CAGL0L02123g
